sector_code,sector_group,sector_name,stage,year,iron_content,mass,mass_iron
10,Mechanical engineering,Metal working toolsand engineering tools,component,1978,0.71,37.3,26.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,1979,0.71,35.0,24.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,1980,0.71,34.5,24.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,1981,0.71,33.8,24.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1982,0.71,36.5,25.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,1983,0.71,29.3,20.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,1984,0.71,39.4,28.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1985,0.71,40.8,29.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1986,0.71,39.0,27.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1987,0.71,43.3,30.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1988,0.71,38.1,27.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1989,0.71,40.8,29.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1990,0.71,42.0,29.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,1991,0.71,40.9,29.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1992,0.71,40.7,28.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,1993,0.71,28.9,20.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,1994,0.71,40.7,28.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,1995,0.71,52.1,37.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1996,0.71,45.2,32.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,1997,0.71,45.4,32.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,1998,0.71,45.0,31.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,1999,0.71,40.7,28.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2000,0.71,42.7,30.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2001,0.71,43.7,31.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2002,0.71,40.9,29.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2003,0.71,41.5,29.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2004,0.71,35.2,25.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2005,0.71,35.7,25.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2006,0.71,47.3,33.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2007,0.71,34.2,24.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2008,0.71,39.0,27.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2009,0.71,30.2,21.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2010,0.71,29.7,21.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2011,0.71,33.7,23.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2012,0.71,28.7,20.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2013,0.71,24.3,17.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2014,0.71,24.6,17.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2015,0.71,25.0,17.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2016,0.71,21.5,15.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2017,0.71,20.2,14.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1978,0.71,124.8,88.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1979,0.71,129.0,91.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1980,0.71,135.2,96.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,1981,0.71,155.3,110.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1982,0.71,123.3,87.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1983,0.71,90.5,64.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1984,0.71,106.4,75.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,1985,0.71,90.0,63.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,1986,0.71,83.4,59.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,1987,0.71,111.2,78.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,1988,0.71,102.3,72.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1989,0.71,90.2,64.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,1990,0.71,99.1,70.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1991,0.71,92.3,65.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1992,0.71,85.1,60.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1993,0.71,86.0,61.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,1994,0.71,100.0,71.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,1995,0.71,111.2,79.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,1996,0.71,105.9,75.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,1997,0.71,114.6,81.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1998,0.71,116.0,82.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1999,0.71,115.8,82.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2000,0.71,102.2,72.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,2001,0.71,125.9,89.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2002,0.71,103.0,73.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2003,0.71,113.6,80.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,2004,0.71,142.7,101.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2005,0.71,127.5,90.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2006,0.71,131.2,93.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2007,0.71,135.5,96.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2008,0.71,118.8,84.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2009,0.71,83.5,59.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2010,0.71,106.5,75.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,2011,0.71,81.2,57.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,2012,0.71,85.4,60.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,2013,0.71,86.1,61.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2014,0.71,81.9,58.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2015,0.71,89.9,63.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,2016,0.71,83.3,59.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2017,0.71,48.5,34.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1978,0.85,114.9,97.7
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1979,0.85,124.8,106.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1980,0.85,146.7,124.7
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1981,0.85,138.0,117.3
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1982,0.85,131.9,112.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1983,0.85,92.3,78.5
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1984,0.85,122.6,104.2
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1985,0.85,123.6,105.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1986,0.85,111.5,94.7
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1987,0.85,111.0,94.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1988,0.85,111.9,95.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1989,0.85,94.0,79.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1990,0.85,96.9,82.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1991,0.85,101.5,86.3
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1992,0.85,97.4,82.8
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1993,0.85,101.2,86.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1994,0.85,139.2,118.3
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1995,0.85,171.4,145.7
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1996,0.85,184.6,156.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1997,0.85,186.4,158.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1998,0.85,188.0,159.8
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1999,0.85,175.4,149.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2000,0.85,187.7,159.6
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2001,0.85,212.9,181.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2002,0.85,203.5,172.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2003,0.85,234.7,199.5
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2004,0.85,297.2,252.6
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2005,0.85,339.9,289.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2006,0.85,364.1,309.5
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2007,0.85,352.2,299.3
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2008,0.85,352.3,299.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2009,0.85,185.4,157.6
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2010,0.85,236.9,201.3
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2011,0.85,276.1,234.7
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2012,0.85,273.0,232.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2013,0.85,267.8,227.6
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2014,0.85,237.7,202.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2015,0.85,211.4,179.7
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2016,0.85,184.7,157.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2017,0.85,62.2,52.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1978,0.85,348.3,296.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1979,0.85,334.2,284.1
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1980,0.85,342.2,290.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1981,0.85,280.9,238.8
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1982,0.85,247.0,209.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1983,0.85,203.0,172.6
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1984,0.85,211.7,179.9
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",final,1985,0.85,237.1,201.5
