sector_code,sector_group,sector_name,stage,year,iron_content,mass,mass_iron
10,Mechanical engineering,Metal working toolsand engineering tools,component,1978,0.71,12.3,8.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1979,0.71,22.8,16.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,1980,0.71,16.6,11.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,1981,0.71,15.0,10.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,1982,0.71,13.7,9.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,1983,0.71,12.7,9.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1984,0.71,14.1,10.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1985,0.71,20.2,14.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,1986,0.71,21.6,15.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,1987,0.71,18.3,13.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1988,0.71,23.5,16.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1989,0.71,28.2,20.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,1990,0.71,27.4,19.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,1991,0.71,25.4,18.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1992,0.71,21.3,15.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,1993,0.71,13.1,9.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,1994,0.71,18.9,13.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,1995,0.71,25.7,18.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,1996,0.71,23.9,16.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,1997,0.71,25.5,18.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,1998,0.71,95.1,67.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,1999,0.71,33.4,23.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2000,0.71,28.7,20.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2001,0.71,29.6,21.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2002,0.71,25.9,18.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2003,0.71,28.0,19.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,2004,0.71,38.7,27.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2005,0.71,40.8,28.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2006,0.71,33.3,23.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2007,0.71,30.7,21.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,2008,0.71,43.3,30.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2009,0.71,15.4,10.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2010,0.71,22.0,15.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2011,0.71,26.4,18.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,2012,0.71,28.3,20.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2013,0.71,33.0,23.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2014,0.71,32.7,23.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2015,0.71,39.7,28.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2016,0.71,49.2,34.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2017,0.71,7.5,5.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1978,0.71,68.0,48.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1979,0.71,82.4,58.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,1980,0.71,80.9,57.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1981,0.71,54.1,38.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1982,0.71,57.0,40.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,1983,0.71,48.0,34.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,1984,0.71,59.7,42.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1985,0.71,66.6,47.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1986,0.71,65.8,46.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,1987,0.71,62.2,44.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,1988,0.71,114.5,81.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1989,0.71,112.1,79.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1990,0.71,102.0,72.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1991,0.71,92.8,65.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,1992,0.71,75.2,53.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1993,0.71,52.9,37.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1994,0.71,80.0,56.8
10,Mechanical engineering,Metal working toolsand engineering tools,final,1995,0.71,91.2,64.8
10,Mechanical engineering,Metal working toolsand engineering tools,final,1996,0.71,87.2,61.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,1997,0.71,122.9,87.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1998,0.71,134.6,95.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,1999,0.71,97.3,69.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2000,0.71,121.8,86.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2001,0.71,118.9,84.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2002,0.71,213.1,151.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2003,0.71,141.0,100.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2004,0.71,107.8,76.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2005,0.71,104.7,74.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2006,0.71,120.6,85.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,2007,0.71,110.3,78.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2008,0.71,130.4,92.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,2009,0.71,75.3,53.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2010,0.71,84.8,60.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2011,0.71,104.9,74.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2012,0.71,118.3,84.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,2013,0.71,106.2,75.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2014,0.71,129.9,92.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2015,0.71,148.7,105.6
