sector_code,sector_group,sector_name,stage,year,iron_content,mass,mass_iron
10,Mechanical engineering,Metal working toolsand engineering tools,component,1996,0.71,112.7,80.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,1997,0.71,112.6,79.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,1998,0.71,251.7,178.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1999,0.71,107.3,76.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2000,0.71,118.1,83.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,2001,0.71,96.6,68.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2002,0.71,97.2,69.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2003,0.71,92.8,65.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2004,0.71,106.5,75.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2005,0.71,112.9,80.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2006,0.71,124.9,88.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2007,0.71,123.2,87.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2008,0.71,120.1,85.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2009,0.71,95.3,67.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2010,0.71,102.1,72.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2011,0.71,121.3,86.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2012,0.71,120.6,85.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2013,0.71,107.3,76.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2014,0.71,116.5,82.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2015,0.71,120.1,85.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2016,0.71,119.3,84.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2017,0.71,122.3,86.8
10,Mechanical engineering,Metal working toolsand engineering tools,final,1996,0.71,75.1,53.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1997,0.71,67.7,48.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,1998,0.71,82.2,58.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1999,0.71,70.1,49.8
10,Mechanical engineering,Metal working toolsand engineering tools,final,2000,0.71,65.6,46.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,2001,0.71,73.7,52.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2002,0.71,92.9,66.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,2003,0.71,102.4,72.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,2004,0.71,101.0,71.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,2005,0.71,102.0,72.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2006,0.71,99.8,70.8
