sector_code,sector_group,sector_name,stage,year,iron_content,mass,mass_iron
10,Mechanical engineering,Metal working toolsand engineering tools,component,1996,0.71,138.1,98.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,1997,0.71,202.3,143.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,1998,0.71,192.7,136.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,1999,0.71,276.2,196.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2000,0.71,285.0,202.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2001,0.71,227.7,161.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2002,0.71,205.0,145.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2003,0.71,209.4,148.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2004,0.71,271.7,192.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2005,0.71,257.9,183.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2006,0.71,282.5,200.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2007,0.71,260.8,185.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2008,0.71,249.5,177.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2009,0.71,168.6,119.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2010,0.71,198.6,141.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2011,0.71,214.0,152.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2012,0.71,215.0,152.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2013,0.71,229.5,162.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2014,0.71,222.9,158.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2015,0.71,201.6,143.2
10,Mechanical engineering,Metal working toolsand engineering tools,component,2016,0.71,212.7,151.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2017,0.71,212.8,151.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,1996,0.71,71.9,51.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,1997,0.71,107.3,76.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,1998,0.71,122.1,86.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,1999,0.71,98.3,69.8
10,Mechanical engineering,Metal working toolsand engineering tools,final,2000,0.71,85.9,61.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,2001,0.71,87.9,62.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2002,0.71,155.5,110.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2003,0.71,159.2,113.0
