SITC_code,description,sector_code,stage,multiplier
S2-0,Food and live animals chiefly for food,,,
S2-00,Live animals chiefly for food,,,
S2-001,Live animals chiefly for food,,,
S2-0011,"Animals of the bovine species (including buffaloes), live",,,
S2-00111,"Animals of the bovine species (including buffaloes), live; pure bred for breeding",,,
S2-00119,"Animals of the bovine species (including buffaloes), live; other than pure bred for breeding",,,
S2-0012,"Sheep and goats, live",,,
S2-00121,"Sheep, live",,,
S2-00122,"Goats, live",,,
S2-0013,"Swine, live",,,
S2-0014,"Poultry, live",,,
S2-00141,Live poultry of 185 grams or less,,,
S2-00149,Live poultry over 185 grams,,,
S2-0015,"Equine species, live",,,
S2-0019,"Live animals of a kind mainly used for human food, nes",,,
S2-01,Meat and preparations,,,
S2-011,"Meat and edible meat offal, fresh, chilled or frozen",,,
S2-0111,"Bovine meat, fresh, chilled or frozen",,,
S2-01111,"Bovine meat fresh, chilled or frozen, with bone",,,
S2-01112,"Bovine meat fresh, chilled or frozen, boneless",,,
S2-0112,"Meat of sheep and goats, fresh, chilled or frozen",,,
S2-0113,"Pig meat fresh, chilled or frozen",,,
S2-0114,"Poultry, dead and edible offal, fresh, chilled or frozen",,,
S2-0115,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen",,,
S2-0116,"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen",,,
S2-0118,"Other fresh, chilled or frozen meat or edible meat offal",,,
S2-01181,"Poultry liver fresh, chilled, frozen, salted or in brine",,,
S2-01189,"Meat and edible meat offal, fresh, chilled, or frozen, nes",,,
S2-012,"Meat and edible meat offal, in brine, dried, salted or smoked",,,
S2-0121,"Bacon, ham, other dried, salted or smoked meat of domestic swine",,,
S2-0129,"Meat and edible meat offal, nes, in brine, dried, salted or smoked",,,
S2-014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",,,
S2-0141,Meat extracts and juices; fish extracts,,,
S2-0142,"Sausages and the like, of meat, meat offal or animal blood",,,
S2-0149,Other prepared or preserved meat or meat offal,,,
S2-02,Dairy products and birds' eggs,,,
S2-022,Milk and cream,,,
S2-0223,"Milk and cream fresh, not concentrated or sweetened",,,
S2-0224,"Milk and cream, preserved, concentrated or sweetened",,,
S2-02241,Whey,,,
S2-02242,"Milk dry, containing not more than 1.5% of fat",,,
S2-02243,"Milk and cream dry, containing more than 1.5% fat",,,
S2-02249,"Milk and cream (not dry), concentrated, preserved or sweetened",,,
S2-023,Butter,,,
S2-0230,Butter,,,
S2-024,Cheese and curd,,,
S2-0240,Cheese and curd,,,
S2-025,"Eggs, birds', and egg yolks, fresh, dried or preserved",,,
S2-0251,"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell",,,
S2-0252,"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell",,,
S2-03,"Fish, crustacean and molluscs, and preparations thereof",,,
S2-034,"Fish, fresh, chilled or frozen",,,
S2-0341,"Fish, fresh or chilled, excluding fillet",,,
S2-0342,"Fish, frozen, excluding fillets",,,
S2-0343,"Fish fillets, fresh or chilled",,,
S2-0344,"Fish fillets, frozen",,,
S2-035,"Fish, dried, salted or in brine; smoked fish",,,
S2-0350,"Fish, dried, salted or in brine; smoked fish",,,
S2-03501,Fish meal fit for human consumption,,,
S2-03502,"Cod (not in fillets) dried, whether or not salted",,,
S2-03503,"Fish (excluding cod) dried, salted or in brine",,,
S2-03504,Fish smoked,,,
S2-036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",,,
S2-0360,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",,,
S2-037,"Fish, crustaceans and molluscs, prepared or preserved, nes",,,
S2-0371,"Fish, prepared or preserved, nes",,,
S2-0372,"Crustaceans and molluscs, prepared or prepared, nes",,,
S2-04,Cereals and cereal preparations,,,
S2-041,"Wheat and meslin, unmilled",,,
S2-0411,"Durum wheat, unmilled",,,
S2-0412,"Other wheat and meslin, unmilled",,,
S2-042,Rice,,,
S2-0421,"Rice in the husk or husked, but not farther prepared",,,
S2-04211,Rice in the husk,,,
S2-04212,"Rice husked, but not further prepared",,,
S2-0422,"Rice, semi-milled or wholly milled",,,
S2-04221,"Rice, semi-milled or milled (unbroken)",,,
S2-04222,Rice broken,,,
S2-043,"Barley, unmilled",,,
S2-0430,"Barley, unmilled",,,
S2-044,"Maize, unmilled",,,
S2-0440,"Maize, unmilled",,,
S2-045,"Cereals, unmilled",,,
S2-0451,"Rye, unmilled",,,
S2-0452,"Oats, unmilled",,,
S2-0459,"Buckwheat, millet, etc, and other cereals, unmilled, nes",,,
S2-04591,"Millet, unmilled",,,
S2-04592,"Sorghum, unmilled",,,
S2-04599,"Other cereals, unmilled, nes",,,
S2-046,Meal and flour of wheat and flour of meslin,,,
S2-0460,Meal and flour of wheat and flour of meslin,,,
S2-04601,Flour of wheat or of meslin,,,
S2-04602,"Groats, meal and pellets, of wheat",,,
S2-047,Other cereal meals and flour,,,
S2-0470,Other cereal meals and flour,,,
S2-04701,Cereal flours (non-wheat or meslin),,,
S2-04702,"Cereal groats, meal and pellets (non-wheat)",,,
S2-048,"Cereal, flour or starch preparations of fruits or vegetables",,,
S2-0481,"Cereal grains, worked or prepared, not elsewhere specified",,,
S2-04811,"Other worked cereal grains, flaked, rolled, etc",,,
S2-04812,"Prepared cereal, roasted, puffed, etc",,,
S2-0482,"Malt, roasted or not, including flour",,,
S2-0483,"Macaroni, spaghetti and similar products",,,
S2-0484,Bakery products,,,
S2-04841,"Bread, biscuit, communion wafers (non-sugars, eggs fat, etc)",,,
S2-04842,"Pastry, biscuits, cakes etc, with or without cocoa",,,
S2-0488,Malt extract; cereals preparations with less 50% of cocoa,,,
S2-05,Vegetables and fruit,,,
S2-054,"Vegetables, fresh or simply preserved; roots and tubers, nes",,,
S2-0541,"Potatoes, fresh or chilled, excluding sweet potatoes",,,
S2-0542,"Beans, peas, other leguminous vegetables, dried, shelled",,,
S2-0544,"Tomatoes, fresh or chilled",,,
S2-0545,Other fresh or chilled vegetables,,,
S2-05451,"Alliaceous vegetables, fresh or chilled",,,
S2-05459,"Vegetables, fresh or chilled, nes",,,
S2-0546,"Vegetables, frozen or in temporary preservative",,,
S2-05461,"Vegetables, preserved by freezing",,,
S2-05462,"Vegetables temporarily preserved, unfrozen",,,
S2-0548,"Vegetable products roots and tubers, nes, fresh, dried",,,
S2-05481,"Roots and tubers, with high starch or insulin, fresh or dried",,,
S2-05482,"Sugar beet, fresh or dried; sugar cane",,,
S2-05484,Hop cones and lupulin,,,
S2-05488,"Vegetable products, primarily for human food, nes",,,
S2-056,"Vegetables, roots and tubers, prepared or preserved, nes",,,
S2-0561,"Vegetables (excluding leguminous), dried, evaporated, etc",,,
S2-0564,"Flour, meals and flakes of potatoes, fruit and vegetables, nes",,,
S2-05643,"Flour, meal and flakes of potato",,,
S2-05645,"Tapioca, sago and substitutes obtained from starches",,,
S2-05649,"Flours of leguminous, fruits, roots and tubers",,,
S2-0565,"Vegetables, prepared or preserved, nes",,,
S2-05651,"Vegetables and fruit, in vinegar or acetic acid",,,
S2-05659,"Vegetables prepared or preserved other than vinegar, nes",,,
S2-057,"Fruit and nuts, fresh, dried",,,
S2-0571,"Oranges, mandarins, etc, fresh or dried",,,
S2-05711,"Oranges, fresh or dried",,,
S2-05712,"Mandarins and similar citrus, fresh or dried",,,
S2-0572,"Other citrus fruits, fresh or dried",,,
S2-05721,"Lemons and limes, fresh or dried",,,
S2-05722,"Grapefruits, fresh or dried",,,
S2-05729,"Citrus fruit, nes, fresh or dried",,,
S2-0573,"Banana, plantain, fresh or dried",,,
S2-0574,"Apples, fresh",,,
S2-0575,"Grapes, fresh or dried",,,
S2-05751,Grapes fresh,,,
S2-05752,Grapes dried (raisins),,,
S2-0576,"Figs, fresh or dried",,,
S2-0577,"Nuts edible, fresh or dried",,,
S2-05771,"Coconuts, fresh or dried (excluding copra)",,,
S2-05772,"Brazil nuts, fresh or dried",,,
S2-05773,"Cashew nuts, fresh or dried",,,
S2-05774,"Almonds, fresh or dried",,,
S2-05775,"Hazelnuts, fresh or dried",,,
S2-05779,"Edible nuts, fresh or dry, nes",,,
S2-0579,"Fruit, fresh or dried, nes",,,
S2-05792,"Pears and quinces, fresh",,,
S2-05793,"Stone fruit, nes, fresh",,,
S2-05794,"Berries, fresh",,,
S2-05795,"Pineapples, fresh or dried",,,
S2-05796,"Dates, fresh or dried",,,
S2-05797,"Avocados, mangoes, guavas, mangos-teens, fresh or dried",,,
S2-05798,Other fresh fruit,,,
S2-05799,Other dried fruit,,,
S2-058,"Fruit, preserved, and fruits preparations",,,
S2-0582,"Fruit, fruit-peel and parts of plants, preserved by sugar",,,
S2-0583,"Jams, jellies, marmalades, etc, as cooked preparations",,,
S2-0585,Fruit or vegetable juices,,,
S2-05851,Orange juice,,,
S2-05852,Grapefruit juice,,,
S2-05853,Juice of any other citrus fruit,,,
S2-05854,Pineapple juice,,,
S2-05855,Tomato juice,,,
S2-05857,Juice of any other fruit or vegetable,,,
S2-05858,Mixtures of fruit or vegetable juices,,,
S2-0586,"Fruit, temporarily preserved",,,
S2-05861,"Fruit, frozen without sugar",,,
S2-05862,"Fruit, frozen with sugar",,,
S2-05863,"Fruit temporarily preserved, unfrozen",,,
S2-05864,"Peel of melons or citrus fruit, fresh, frozen, dried etc",,,
S2-0589,"Fruit prepared or preserved, nes",,,
S2-05891,"Nuts, roasted (including peanut)",,,
S2-05899,"Fruit and nuts, prepared, preserved, nes",,,
S2-06,"Sugar, sugar preparations and honey",,,
S2-061,Sugar and honey,,,
S2-0611,"Sugars, beet and cane, raw, solid",,,
S2-0612,Refined sugar etc,,,
S2-0615,Molasses,,,
S2-0616,Natural honey,,,
S2-0619,Sugars and syrups nes; artificial honey; caramel,,,
S2-062,"Sugar confectionery and preparations, non-chocolate",,,
S2-0620,"Sugar confectionery and preparations, non-chocolate",,,
S2-07,"Coffee, tea, cocoa, spices, and manufactures thereof",,,
S2-071,Coffee and coffee substitutes,,,
S2-0711,"Coffee green, roasted; coffee substitutes containing coffee",,,
S2-07111,"Coffee, not roasted; coffee husks and skins",,,
S2-07112,"Coffee, roasted",,,
S2-07113,Coffee substitutes containing coffee,,,
S2-0712,"Coffee extracts, essences or concentrates",,,
S2-072,Cocoa,,,
S2-0721,"Cocoa beans, raw, roasted",,,
S2-0722,"Cocoa powder, unsweetened",,,
S2-0723,Cocoa butter and paste,,,
S2-07231,"Cocoa paste, whether or not defatted",,,
S2-07232,Cocoa butter (fat or oil),,,
S2-073,"Chocolate and other preparations containing cocoa, nes",,,
S2-0730,"Chocolate and other preparations containing cocoa, nes",,,
S2-074,Tea and mate,,,
S2-0741,Tea,,,
S2-0742,Mate,,,
S2-075,Spices,,,
S2-0751,Pepper of piper; pimento of capsicum or pimenta,,,
S2-0752,"Spices, except pepper and pimento",,,
S2-07521,Vanilla,,,
S2-07522,Cinnamon and cinnamon-tree flowers,,,
S2-07523,Cloves,,,
S2-07524,"Nutmeg, mace, cardamoms",,,
S2-07525,"Seeds of anise, badian, coriander, cumin, etc",,,
S2-07526,Ginger (except in sugar or in syrup),,,
S2-07528,"Thyme, saffron, bay leaves; other spices",,,
S2-08,Feeding stuff for animals (not including unmilled cereals),,,
S2-081,Feeding stuff for animals (not including unmilled cereals),,,
S2-0811,"Hay and fodder, green or dry",,,
S2-08111,"Cereal straw and husks, unprepared",,,
S2-08112,"Mangolds, swedes, fodder roots, hay, etc",,,
S2-08119,"Products of vegetable origin for animal food, nes",,,
S2-0812,"Bran, sharps and other residues derives of cereals",,,
S2-08121,"Bran, sharps, etc, of maize or rice",,,
S2-08122,"Bran, sharps, etc, of other cereals",,,
S2-08123,"Bran, sharps, etc, of leguminous vegetables",,,
S2-0813,Oilcake and other residues (except dregs),,,
S2-08131,Oilcake and other residues (except dregs); of soya beans,,,
S2-08132,Oilcake and other residues (except dregs); of groundnuts,,,
S2-08133,Oilcake and other residues (except dregs); of cotton seeds,,,
S2-08134,Oilcake and other residues (except dregs); of linseed,,,
S2-08135,Oilcake and other residues (except dregs); of sunflower seeds,,,
S2-08136,Oilcake and other residues (except dregs); of rape or colza seed,,,
S2-08137,Oilcake and other residues (except dregs); of coconut  (copra),,,
S2-08138,"Oilcake and other residues (except dregs); of palm nuts, kernels",,,
S2-08139,Oilcake and other residues (except dregs); of other oilseeds and oleaginous fruits,,,
S2-0814,"Flours and meals, of meat, fish,etc, unfit for human; greaves",,,
S2-08141,"Flours and meals of meat, fish, etc, unfit for human; greaves",,,
S2-08142,"Flours and meals of fish, crustacean, etc, unfit for human",,,
S2-0819,"Food waste and prepared animal feed, nes",,,
S2-08192,"Cocoa shells, husks, skin and waste",,,
S2-08193,"Beet-pulp, bagasse and other waste of sugar manufacture",,,
S2-08194,"Wine lees, argol",,,
S2-08199,"Sweetened forage; other preparation for animal feeding, nes",,,
S2-09,Miscellaneous edible products and preparations,,,
S2-091,Margarine and shortening,,,
S2-0913,"Lard, pig and poultry fat, rendered or solvent-extracted",,,
S2-0914,"Margarine, imitation lard and other prepared edible fats, nes",,,
S2-09141,Margarine,,,
S2-09149,"Imitation lard and other prepared edible fats, nes",,,
S2-098,"Edible products and preparations, nes",,,
S2-0980,"Edible products and preparations, nes",,,
S2-09801,Homogenized composite food preparations,,,
S2-09802,"Extracts, essences or concentrates of tea or mate",,,
S2-09803,Mustard flour and prepared mustard,,,
S2-09804,Sauces; mixed condiments and seasonings,,,
S2-09805,"Soups and broth, in liquid, solid or powder form",,,
S2-09806,Natural yeast; prepared baking powders,,,
S2-09807,Vinegar and substitutes for vinegar,,,
S2-09808,"Edible products of animal origin, nes",,,
S2-09809,"Food preparations, nes",,,
S2-1,Beverages and tobacco,,,
S2-11,Beverages,,,
S2-111,"Non-alcoholic beverages, nes",,,
S2-1110,"Non-alcoholic beverages, nes",,,
S2-11101,"Water, ice and snow",,,
S2-11102,"Flavored waters, and other non-alcoholic beverages, nes",,,
S2-112,Alcoholic beverages,,,
S2-1121,Wine of fresh grapes etc,,,
S2-11211,"Grape must, with fermentation arrested other than by alcohol",,,
S2-11212,Wine of fresh grapes,,,
S2-11213,"Vermouth, other wines of fresh grapes with aromatic extracts",,,
S2-1122,"Other fermented beverages, nes (cider, perry, mead, etc)",,,
S2-1123,"Beer made from malt (including ale, stout and porter)",,,
S2-1124,"Distilled alcoholic beverages, nes",,,
S2-11241,Whisky,,,
S2-11242,Spirits obtained by distilling wine or grape marc,,,
S2-11249,"Other alcoholic beverages, nes",,,
S2-12,Tobacco and tobacco manufactures,,,
S2-121,Tobacco unmanufactured; tobacco refuse,,,
S2-1211,"Tobacco, not stripped",,,
S2-12111,"Tobacco, not stripped; flue-cured, of the Virginia type",,,
S2-12119,"Tobacco, not stripped; other than Virginia-type flue-cured",,,
S2-1212,"Tobacco, wholly or partly stripped",,,
S2-12121,"Tobacco, wholly or partly stripped; flue-cured, of the Virginia type",,,
S2-12129,"Tobacco, wholly or partly stripped; other than Virginia-type flue-cured",,,
S2-1213,Tobacco refuse,,,
S2-122,"Tobacco, manufactured",,,
S2-1221,"Cigars, cheroots: cigarillos",,,
S2-1222,Cigarettes,,,
S2-1223,"Tobacco, manufactured; tobacco extract and essences",,,
S2-2,"Crude materials, inedible, except fuels",,,
